event_index,crate7_trigger,crate7_tcp_fill,crate7_gpu_fill,crate8_trigger,crate8_tcp_fill,crate8_gpu_fill,filename
29975,795180,8747,8747,797740,11307,11307,run00322_00031.mid.lz4
29976,795181,8748,8748,797741,11308,11308,run00322_00031.mid.lz4
29977,795182,8749,8749,797742,11309,11309,run00322_00031.mid.lz4
29978,795183,8750,8750,797743,11310,11310,run00322_00031.mid.lz4
29979,795184,8751,8751,797744,11311,11311,run00322_00031.mid.lz4
29980,795185,8752,8752,797745,11312,11312,run00322_00031.mid.lz4
29981,795186,8753,8753,797746,11313,11313,run00322_00031.mid.lz4
29982,795187,8754,8754,797747,11314,11314,run00322_00031.mid.lz4
29983,795188,8755,8755,797748,11315,11315,run00322_00031.mid.lz4
29984,795189,8756,8756,797749,11316,11316,run00322_00031.mid.lz4
29985,795190,8757,8757,797750,11317,11317,run00322_00031.mid.lz4
29986,795191,8758,8758,797751,11318,11318,run00322_00031.mid.lz4
29987,795192,8759,8759,797752,11319,11319,run00322_00031.mid.lz4
29988,795193,8760,8760,797753,11320,11320,run00322_00031.mid.lz4
29989,795194,8761,8761,797754,11321,11321,run00322_00031.mid.lz4
29990,795195,8762,8762,797755,11322,11322,run00322_00031.mid.lz4
29991,795196,8763,8763,797756,11323,11323,run00322_00031.mid.lz4
29992,795197,8764,8764,797757,11324,11324,run00322_00031.mid.lz4
29993,795198,8765,8765,797758,11325,11325,run00322_00031.mid.lz4
29994,795199,8766,8766,797759,11326,11326,run00322_00031.mid.lz4
29995,795200,8767,8767,797760,11327,11327,run00322_00031.mid.lz4
29996,795201,8768,8768,797761,11328,11328,run00322_00031.mid.lz4
29997,795202,8769,8769,797762,11329,11329,run00322_00031.mid.lz4
29998,795203,8770,8770,797763,11330,11330,run00322_00031.mid.lz4
29999,795204,8771,8771,797764,11331,11331,run00322_00031.mid.lz4
30000,795205,8772,8772,797765,11332,11332,run00322_00031.mid.lz4
30001,795206,8773,8773,797766,11333,11333,run00322_00031.mid.lz4
30002,795207,8774,8774,797767,11334,11334,run00322_00031.mid.lz4
30003,795208,8775,8775,797768,11335,11335,run00322_00031.mid.lz4
30004,795209,8776,8776,797769,11336,11336,run00322_00031.mid.lz4
30005,795210,8777,8777,797770,11337,11337,run00322_00031.mid.lz4
30006,795211,8778,8778,797771,11338,11338,run00322_00031.mid.lz4
30007,795212,8779,8779,797772,11339,11339,run00322_00031.mid.lz4
30008,795213,8780,8780,797773,11340,11340,run00322_00031.mid.lz4
30009,795214,8781,8781,797774,11341,11341,run00322_00031.mid.lz4
30010,795215,8782,8782,797775,11342,11342,run00322_00031.mid.lz4
30011,795216,8783,8783,797776,11343,11343,run00322_00031.mid.lz4
30012,795217,8784,8784,797777,11344,11344,run00322_00031.mid.lz4
30013,795218,8785,8785,797778,11345,11345,run00322_00031.mid.lz4
30014,795219,8786,8786,797779,11346,11346,run00322_00031.mid.lz4
30015,795220,8787,8787,797780,11347,11347,run00322_00031.mid.lz4
30016,795221,8788,8788,797781,11348,11348,run00322_00031.mid.lz4
30017,795222,8789,8789,797782,11349,11349,run00322_00031.mid.lz4
30018,795223,8790,8790,797783,11350,11350,run00322_00031.mid.lz4
30019,795224,8791,8791,797784,11351,11351,run00322_00031.mid.lz4
30020,795225,8792,8792,797785,11352,11352,run00322_00031.mid.lz4
30021,795226,8793,8793,797786,11353,11353,run00322_00031.mid.lz4
30022,795227,8794,8794,797787,11354,11354,run00322_00031.mid.lz4
30023,795228,8795,8795,797788,11355,11355,run00322_00031.mid.lz4
30024,795229,8796,8796,797789,11356,11356,run00322_00031.mid.lz4
30025,795230,8797,8797,797790,11357,11357,run00322_00031.mid.lz4
30026,795231,8798,8798,797791,11358,11358,run00322_00031.mid.lz4
30027,795232,8799,8799,797792,11359,11359,run00322_00031.mid.lz4
30028,795233,8800,8800,797793,11360,11360,run00322_00031.mid.lz4
30029,795234,8801,8801,797794,11361,11361,run00322_00031.mid.lz4
30030,795235,8802,8802,797795,11362,11362,run00322_00031.mid.lz4
30031,795236,8803,8803,797796,11363,11363,run00322_00031.mid.lz4
30032,795237,8804,8804,797797,11364,11364,run00322_00031.mid.lz4
30033,795238,8805,8805,797798,11365,11365,run00322_00031.mid.lz4
30034,795239,8806,8806,797799,11366,11366,run00322_00031.mid.lz4
30035,795240,8807,8807,797800,11367,11367,run00322_00031.mid.lz4
30036,795241,8808,8808,797801,11368,11368,run00322_00031.mid.lz4
30037,795242,8809,8809,797802,11369,11369,run00322_00031.mid.lz4
30038,795243,8810,8810,797803,11370,11370,run00322_00031.mid.lz4
30039,795244,8811,8811,797804,11371,11371,run00322_00031.mid.lz4
30040,795245,8812,8812,797805,11372,11372,run00322_00031.mid.lz4
30041,795246,8813,8813,797806,11373,11373,run00322_00031.mid.lz4
30042,795247,8814,8814,797807,11374,11374,run00322_00031.mid.lz4
30043,795248,8815,8815,797808,11375,11375,run00322_00031.mid.lz4
30044,795249,8816,8816,797809,11376,11376,run00322_00031.mid.lz4
30045,795250,8817,8817,797810,11377,11377,run00322_00031.mid.lz4
